objective,technology,name,id,full_only,url,geographies,location,tagline,description,contact,logo_url
4,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
17,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
15,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
20,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
7,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
6,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
6,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
5,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
9,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
11,3,Abide Financial,2,1,www.nexregreporting.com,"UK,Europe",UK,,"Our cloud based Hub technology enables seamless processing of high data volumes, flexible cross-regime and cross-asset class reporting, making it the ultimate end to end reporting solution for banks, brokerage houses, hedge funds and asset managers. With cutting edge technology controlled from a single, secure and intuitive user interface, clients are able to submit their transactional data, into the NEX Regulatory Reporting Hub in multiple formats and from multiple sources, for data normalisation, enrichment, determination, reconciliation and validation. It is then delivered to the relevant regulatory end point. The Hub and the accompanying user interface has been designed to offer full transparency of the transaction lifecycle process along with powerful insights into underlying reporting timeliness and data quality",,/static/images/vendor-logos/abide-financial.png
14,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
22,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
12,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
4,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
17,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
15,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
20,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
7,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
6,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
6,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
5,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
9,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
11,3,Accudelta,3,1,www.accudelta.com,"USA,UK,America,Europe",,,"Accudelta offers a range of services, that facilitate flexible and cost-efficient access to high quality data from one, centralised and trusted source. Accudelta aggregates, validates, controls and enriches product information creating a trusted store accessible by multiple business interfaces.",info@accudelta.com,/static/images/vendor-logos/accudelta.png
14,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
22,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
22,12,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
12,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
12,12,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
4,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
17,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
15,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
20,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
7,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
10,2,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
2,2,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
6,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
6,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
5,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
5,12,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
1,2,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
9,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
3,2,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
19,2,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
19,12,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
11,3,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
11,12,Advice Robo,4,1,www.advicerobo.com,"Netherlands,UK,Europe",Netherlands,,"AdviceRobo is the global specialist in innovative risk scoring. It applies thousands of behavioural data on its artificial intelligence platform to score credit risk. Products are (1) automated underwriting, (2) thin file psychographic credit scoring and (3) near real time risk tracking. AdviceRobo is European market leader delivering over 1 million credit scores to banks and lenders from Sweden to Spain, from the UK to Poland. The business launched its platform onto the UK market in December 2016.",info@advicerobo.com,/static/images/vendor-logos/advicerobo.png
